order_id,customer_name,item_name,item_category,quantity,unit_price,total_price,order_date,delivery_date,payment_method,delivery_address,city,country
23,Aloisia Yanshin,Scent Diffuser,Home,55,356.3,7394.26,8/9/2021,10/26/2021,Online Payment,50143 Old Gate Trail,Toba Tek Singh,Pakistan
24,Catherina Enevoldsen,Lightweight Rain Jacket,Clothing - Outerwear,27,178.85,6456.37,5/28/2021,1/7/2021,Online Payment,32139 Ridgeway Way,Harrisburg,United States
25,Corette Alesbrook,Wireless Gaming Headset,Gaming,95,359.8,4578.95,6/18/2021,2/22/2021,Credit Card,8794 Raven Plaza,Banakaja,Indonesia
26,Corinne Stallworth,Mango Chilli Sauce,Food - Condiments,91,806.65,325.39,10/23/2021,8/4/2021,Credit Card,6 Homewood Junction,Molo,Kenya
27,Bartholomeus Docharty,Baby Monitor,Baby,85,184.6,4931.46,8/9/2021,4/17/2021,Cash,3 Mcbride Trail,Kouvola,Finland
28,Gilemette Bendell,Smart WiFi Plug,Smart Home,78,201.19,4813.75,8/29/2021,3/17/2021,Cash,39486 Green Center,Fort Worth,United States
29,Melosa Crichmere,Reversible Comforter Set,Home,65,116.56,5638.02,9/25/2021,5/9/2021,Online Payment,12508 Emmet Crossing,Līgatne,Latvia
30,Northrop Maypother,Lemonade Mix,Food - Beverages,19,7.7,7476.92,5/29/2021,3/22/2021,Online Payment,6098 Westridge Park,La Mohammedia,Tunisia
31,Isobel Aloigi,Jalapeño Cornbread,Food - Bakery,87,104.21,6807.52,12/11/2021,12/17/2021,Online Payment,2121 Derek Street,Thai Charoen,Thailand
32,Cordelia Gonneau,DIY Lip Balm Kit,Crafts,65,487.48,3598.65,11/12/2021,5/11/2021,Credit Card,47454 Browning Trail,Balungkopi,Indonesia
33,Jess Pedden,Portable Air Compressor,Automotive,32,44.66,4175.73,7/13/2021,9/27/2021,Cash,8 Almo Center,Iwierzyce,Poland
34,Payton Grosvener,Sour Cream,Food - Dairy,47,99.0,7765.16,2/15/2021,6/9/2021,Credit Card,5 Northland Place,Passos,Brazil
35,Codie Karadzas,Adjustable Resistance Bands,Fitness,42,916.75,8766.21,4/15/2021,6/24/2021,Online Payment,35561 Pierstorff Trail,Sunagawa,Japan
36,Karly Chidlow,Peanut Butter Granola,Food - Breakfast,74,352.6,6676.2,11/6/2021,8/27/2021,Online Payment,4 Sage Road,Penitik,Indonesia
37,Reagan Sergison,Energy Protein Bars,Food - Snacks,79,252.75,1197.06,4/11/2021,10/5/2021,Online Payment,02431 High Crossing Trail,Bagarmossen,Sweden
38,Thorny Bortolussi,Sliced Olives,Food - Condiments,98,787.03,450.23,6/18/2021,1/5/2021,Online Payment,17 Roxbury Way,Nuevo Arraiján,Panama
39,Trista Dummigan,Sturdy Bookends,Office,39,854.49,9649.04,6/9/2021,3/27/2021,Online Payment,42 Cherokee Court,Mīāndoāb,Iran
40,Dori Garnall,Electric Food Slicer,Kitchen,53,525.09,393.16,8/11/2021,5/31/2021,Cash,006 Armistice Drive,Sidaurip,Indonesia
41,Hadria Binham,Elegant Lace Dress,Clothing - Dresses,92,785.05,3564.12,5/26/2021,12/23/2021,Online Payment,7138 Northport Junction,Delray Beach,United States
42,Stephenie Winspurr,Cheese Stuffed Jalapenos,Food - Snacks,37,936.01,2438.05,6/16/2021,7/28/2021,Credit Card,5955 Farwell Street,Fucha,China
43,Avram Jann,Spicy Hummus,Food - Deli,35,398.06,3665.41,5/21/2021,2/7/2021,Credit Card,05 Armistice Drive,Fiães,Portugal
44,Avie Ramard,Self-Adhesive Wallpaper,Home,87,190.37,1048.98,10/2/2021,7/6/2021,Credit Card,05 Orin Crossing,Huangmei,China
45,Pepe Dibb,Lentil Vegetable Stew,Food - Canned Soups,82,665.52,6288.83,4/12/2021,6/2/2021,Credit Card,80 Transport Road,Gemblengmulyo,Indonesia
46,Enrika Jaspar,Chipotle Sauce,Food - Condiments,65,810.99,5874.73,3/8/2021,10/9/2021,Online Payment,1153 Laurel Place,Lahad Datu,Malaysia
47,Kelley Blackall,Magnetic Spice Containers,Kitchen,73,164.55,552.67,3/9/2021,3/7/2021,Online Payment,5173 Northport Point,Tanashichō,Japan
48,Parnell Edgar,Smart Wi-Fi Camera,Smart Home,66,261.53,2496.06,3/18/2021,9/9/2021,Cash,975 Grayhawk Avenue,Ресен,Macedonia
49,Lowrance Brecher,Vegetable Lasagna,Food - Frozen Foods,6,119.97,4682.37,11/22/2021,3/9/2021,Cash,3 Nova Pass,Basyūn,Egypt
50,Madeline Surman-Wells,Lemon Herb Quinoa,Food - Grains,84,27.15,7281.78,1/6/2021,2/6/2021,Credit Card,7552 Eagan Center,Tirlyanskiy,Russia
51,Janessa Larwell,Travel Organizer,Travel,23,199.41,4831.13,7/5/2021,9/4/2021,Online Payment,1253 Carey Junction,Sunjia,China
52,Virgilio Dallas,Noise-Canceling Earbuds,Audio,49,42.19,7631.2,9/4/2021,10/30/2021,Credit Card,253 Thierer Terrace,Höviyn Am,Mongolia
53,Rodrique Illing,Inflatable Paddle Board,Outdoor,86,807.11,9628.45,1/14/2021,8/26/2021,Cash,66865 Golf Street,Tambo,Peru
54,Milzie Tidman,Peanut Butter Chocolate Clusters,Food - Desserts,50,82.0,6734.04,10/4/2021,6/12/2021,Credit Card,4 Bonner Pass,Sumberkertokrajan,Indonesia
55,Ranique Bellworthy,Butternut Squash Soup,Food - Soups,92,702.0,1158.76,8/11/2021,10/11/2021,Cash,28 Miller Drive,Mariatana,Peru
56,Tedra McCauley,Wild Rice & Quinoa Mix,Food - Grains,22,648.48,5829.24,6/1/2021,5/29/2021,Online Payment,155 Southridge Center,Gumaus,Philippines
57,Aundrea Grigore,Sweet Potato Mash,Food - Frozen Foods,12,26.32,1797.52,2/17/2021,7/29/2021,Online Payment,43 Evergreen Road,Xingfu,China
58,Sheelagh Blount,High-Speed Hand Blender,Kitchen,65,280.04,4112.28,12/19/2021,6/4/2021,Cash,1245 Fieldstone Way,Macachín,Argentina
59,Basilius Volker,Mini Food Processor,Kitchen,28,56.65,3054.14,1/2/2021,10/23/2021,Online Payment,43 Bluestem Parkway,Chorkówka,Poland
60,Judye Duckwith,Insulated Coffee Mug,Kitchen,84,329.31,1990.62,2/12/2021,8/12/2021,Online Payment,74391 International Street,Jetaral,China
61,Jaquith Noor,Lightweight Travel Backpack,Travel,35,90.17,5002.32,6/20/2021,7/5/2021,Cash,65002 Schiller Place,Mestre,Italy
62,Alane Labbati,Vegetable Quinoa Bowl,Food - Frozen Meals,53,441.69,9764.9,1/20/2021,1/17/2021,Cash,8263 Ludington Pass,Taipingxi,China
63,Wittie Skea,Inflatable Pool Float,Outdoor,48,831.28,2866.25,1/24/2021,11/30/2021,Credit Card,828 Cherokee Park,Barreiro,Portugal
64,Corbet Shugg,Organic Coconut Flakes,Food - Baking,2,216.12,46.54,9/10/2021,6/20/2021,Cash,82 Judy Hill,Nacka,Sweden
65,Klaus Feragh,Tea Infuser,Kitchen,19,489.82,4920.21,1/31/2021,5/9/2021,Online Payment,38 Kingsford Court,Gus’-Zheleznyy,Russia
66,Nickolaus O' Meara,Cranberry Citrus Sauce,Food - Condiments,67,282.56,5866.24,12/17/2021,5/16/2021,Cash,038 Glacier Hill Center,Banatsko Veliko Selo,Serbia
67,Chickie Ireson,Zucchini Noodle Pasta,Food - Vegetables,66,967.96,6944.84,1/15/2021,9/10/2021,Online Payment,4109 Ronald Regan Crossing,Szprotawa,Poland
68,Cobby Brannan,Sriracha Hot Chili Sauce,Food - Condiments,37,106.77,6690.15,11/17/2021,5/1/2021,Online Payment,616 Calypso Place,Kuching,Malaysia
69,Brear Powis,Arcade Game Machine,Gaming,47,877.5,6906.42,5/31/2021,7/28/2021,Cash,4874 Browning Hill,Zhouhu,China
70,Bibi Tokell,Italian Marinara Sauce,Food - Sauces,79,209.31,3798.06,3/20/2021,7/22/2021,Credit Card,15134 Fieldstone Center,Арачиново,Macedonia
71,Halette Alywin,Chicken Parmesan Dinner Kit,Food - Frozen Meals,78,447.72,5497.4,9/30/2021,11/13/2021,Online Payment,02787 Truax Terrace,Abreus,Cuba
72,Madeline Jerome,Sunglasses Case,Accessories,51,919.64,8997.32,8/28/2021,5/7/2021,Credit Card,45595 Fairfield Drive,Wenxing,China
73,Aubree Normanvill,Lentils,Food - Grains,90,738.07,8456.37,8/7/2021,1/19/2021,Credit Card,08335 2nd Court,Benzilan,China
74,Lynnelle Camilio,Wildflower Honey,Food - Condiments,56,223.07,1982.33,8/11/2021,2/8/2021,Online Payment,53794 Ramsey Hill,Buffalo,United States
75,Phillip Boothebie,Saffron Rice Mix,Food - Grains,98,256.53,9932.8,8/22/2021,8/14/2021,Credit Card,6 Oxford Trail,Esfarāyen,Iran
76,Ronny Vaen,Adjustable Height Standing Desk Converter,Office,18,171.58,5423.74,9/25/2021,11/18/2021,Cash,7 Doe Crossing Way,Kaishantun,China
77,Esra Zorro,Jump Rope with Counter,Fitness,60,29.49,5112.58,10/17/2021,2/16/2021,Credit Card,1 Buena Vista Hill,Nova Petrópolis,Brazil
78,Cybill Philipot,Electrolyte Water Bottle,Fitness,32,93.55,9204.66,7/31/2021,3/23/2021,Cash,86 Blackbird Trail,Lugait,Philippines
79,Ciro Naisey,Chic Ankle Strap Heels,Clothing - Shoes,25,171.73,5093.7,2/22/2021,8/21/2021,Online Payment,1526 Golden Leaf Pass,Oslo,Norway
80,Abigael Fysh,High-Quality Yoga Block,Fitness,7,933.4,3876.45,9/1/2021,2/19/2021,Credit Card,225 Caliangt Way,Qarshi,Uzbekistan
81,Philbert Slaten,Sliced Strawberries,Food - Fruits,28,527.34,882.02,1/23/2021,7/28/2021,Cash,49 Armistice Center,Xiwang,China
82,Berny Pecha,LED Disco Ball Light,Home,57,247.36,9020.69,11/3/2021,12/10/2021,Online Payment,16171 Vera Avenue,Paisha,China
83,Ted Cronchey,Roasted Red Pepper Dip,Food - Snacks,13,274.07,769.88,3/12/2021,4/30/2021,Credit Card,1582 Grayhawk Park,Brusyanka,Russia
84,Ignaz Sille,Fruit & Nut Trail Mix,Food - Snacks,8,877.24,979.83,6/3/2021,4/25/2021,Credit Card,8 Farragut Drive,Jiazhi,China
85,Valencia Cockings,Himalayan Pink Salt,Food - Condiments,82,505.78,6645.4,9/7/2021,4/2/2021,Online Payment,7499 Dahle Place,Pore,Colombia
86,Ardelle Zanolli,Smartphone Tripod with Remote,Photography,84,614.15,3306.57,8/12/2021,5/12/2021,Cash,507 Mayfield Pass,Shicheng,China
87,Nata Pakeman,Vegetable Curry,Food - Frozen Foods,13,969.1,230.6,4/21/2021,5/24/2021,Cash,2101 Stoughton Park,Eskilstuna,Sweden
88,Matthias Leece,Smartphone Stand,Accessories,79,679.8,1563.45,5/14/2021,5/15/2021,Cash,4 Arrowood Pass,Dromiskin,Ireland
89,Barb Ebbitt,Miso Soup Mix,Food - Soups,35,332.26,2041.05,8/7/2021,7/11/2021,Credit Card,17934 Schmedeman Pass,Meicheng,China
90,Myrna Burgne,Coconut Rice,Food - Frozen,42,124.43,8224.59,11/5/2021,4/3/2021,Credit Card,2 John Wall Alley,Chichaoua,Morocco
91,Ivett Pettegree,Incense Holder,Home,85,757.57,5322.9,11/11/2021,5/31/2021,Online Payment,5 Del Mar Way,Yurla,Russia
92,Verna Woonton,Salsa,Food - Condiments,68,538.73,7883.59,7/4/2021,10/1/2021,Cash,5895 Doe Crossing Avenue,Kangshan,China
93,Odille Losbie,Coconut Oil Spray,Food - Cooking Oils,95,955.78,3038.1,4/26/2021,12/12/2021,Online Payment,0 Warner Point,Venlo,Netherlands
94,Dunn Parmeter,Traditional Hummus,Food - Dips,98,560.42,2390.45,6/22/2021,10/17/2021,Online Payment,4 Anhalt Hill,Mikrókampos,Greece
95,Imojean Patel,Turkey Bacon,Food - Meat,28,397.47,1814.03,10/21/2021,11/23/2021,Online Payment,6325 Maryland Alley,Suso,Philippines
96,Loren Parsisson,Non-Stick Grill Pan,Kitchen,39,50.93,5332.41,2/20/2021,6/6/2021,Cash,6 Meadow Ridge Way,Wuxiang,China
97,Amber Gherardesci,Wireless Charger Stand,Electronics,95,412.84,652.48,1/22/2021,2/5/2021,Online Payment,4 Kinsman Parkway,Andir,Indonesia
98,Genni Leggate,Electric Toothbrush Holder,Health,42,923.51,8732.22,8/7/2021,11/6/2021,Online Payment,42 Hanson Place,Auch,France
99,Ilsa Enriques,Sesame Seeds,Food - Baking,30,944.2,1915.34,4/25/2021,4/5/2021,Cash,375 Reinke Hill,Naples,United States
100,Jennilee MacGaffey,Crispy Onion Rings,Food - Frozen Foods,93,662.83,7549.76,4/18/2021,8/12/2021,Credit Card,355 American Ash Pass,Biryukove,Ukraine
101,Jerome Menichi,Organic Black Rice,Food - Grains,65,626.15,4056.6,10/3/2021,12/19/2021,Cash,13297 Arrowood Drive,Višnjevac,Croatia
102,Norri Atley,Warm Wool Sweater,Clothing - Tops,46,206.13,2341.29,12/19/2021,11/24/2021,Cash,27 Summerview Parkway,Mehrābpur,Pakistan
103,Binky Lytle,Fruit and Nut Medley,Food - Snacks,36,570.47,4112.93,7/30/2021,9/13/2021,Credit Card,8 Donald Way,Duczki,Poland
104,Monro Spybey,Maple Cinnamon Granola,Food - Cereals,99,528.68,9234.32,6/10/2021,10/5/2021,Credit Card,8971 Arkansas Alley,Bambas,Peru
105,Jakie Daveren,Chilli Lime Corn on the Cob,Food - Vegetable,23,823.35,9665.09,10/25/2021,10/31/2021,Cash,7 Darwin Parkway,Huancheng,China
106,Vittoria Waudby,Quinoa & Black Bean Salad,Food - Salads,34,492.19,7899.79,12/24/2021,12/6/2021,Online Payment,8 Fuller Park,Jingkou,China
107,Kirsten Vlasyuk,Whole Wheat Pasta,Food - Grains,28,362.65,9253.56,5/17/2021,10/23/2021,Cash,6181 Sachs Pass,Choropampa,Peru
108,Sande Chatt,Dishwasher Safe Cutting Board,Kitchen,56,733.46,3943.3,4/18/2021,4/6/2021,Online Payment,56 Hintze Parkway,Det Udom,Thailand
109,Pauline Curreen,Pet Grooming Gloves,Pets,37,421.49,3912.34,8/6/2021,9/29/2021,Online Payment,7606 Quincy Point,Kadubamban,Indonesia
110,Margret Alleyne,Smoked Paprika,Food - Spices,92,699.46,7720.18,3/8/2021,5/7/2021,Online Payment,6071 Del Mar Road,Longos,Portugal
111,Shel Colkett,Window A/C Unit,Home Appliances,86,957.05,9959.73,3/29/2021,1/9/2021,Online Payment,05 Mockingbird Place,Zuocun,China
112,Cherin Grzegorecki,Collapsible Water Bottle,Fitness,37,565.24,4102.59,12/18/2021,1/11/2021,Credit Card,2988 Westerfield Pass,Dvin,Armenia
113,Robinet Imbrey,Smartphone UV Sanitizer,Health,52,781.85,2478.7,6/4/2021,7/20/2021,Credit Card,22278 Lawn Alley,Zhenqiao,China
114,Ashlee McGarahan,Multicolored LED Strip Lights,Home,56,496.7,1074.47,1/1/2021,7/12/2021,Cash,382 Northwestern Alley,Karvia,Finland
115,Cariotta Schollar,Chocolate Peanut Butter Cups,Food - Snacks,70,102.91,6848.48,4/13/2021,9/27/2021,Cash,51259 Drewry Circle,San Bernardino,Paraguay
116,Letisha Cosker,Roasted Sweet Corn,Food - Frozen,97,886.55,264.66,1/29/2021,5/7/2021,Credit Card,4565 Shopko Parkway,Hobo,Colombia
117,Clayton Paulet,Portable Bluetooth Keyboard,Electronics,26,856.27,185.13,10/24/2021,7/25/2021,Online Payment,53 Saint Paul Place,Rimus,Philippines
118,Zarla Swetman,Cork Yoga Mat,Fitness,72,237.59,8348.0,12/30/2021,12/6/2021,Online Payment,908 Gateway Plaza,Delgermörön,Mongolia
119,Sandy Rechert,Wire Shelving Unit,Home,22,667.87,7485.88,7/25/2021,3/7/2021,Cash,14436 Sage Way,Igcocolo,Philippines
120,Hercules De Vaan,Personal Blender with Travel Lid,Kitchen,20,835.37,315.54,12/12/2021,12/26/2021,Cash,01 Anniversary Court,Auxerre,France
121,Trace Gress,Coconut Milk Yogurt,Food - Dairy Alternatives,36,452.73,4245.79,6/10/2021,9/2/2021,Online Payment,28916 Main Lane,Mbandjok,Cameroon
122,Rolland Schieferstein,Chic Jumpsuit,Clothing - Jumpsuits,75,839.0,7485.03,9/16/2021,7/18/2021,Credit Card,1685 Heffernan Court,Västerås,Sweden
123,Valaree Avrasin,Turkey Bacon,Food - Meat,97,398.84,9936.64,8/16/2021,10/19/2021,Online Payment,3956 Ridgeview Lane,Kantharalak,Thailand
124,Jeralee McAreavey,Chipotle Black Bean Burger,Food - Meats,40,147.51,7974.16,12/18/2021,9/24/2021,Online Payment,02685 Green Ridge Alley,Algarvia,Portugal
125,Dolorita Garber,Smoky BBQ Jackfruit,Food - Grocery,84,241.4,9015.28,2/4/2021,4/4/2021,Online Payment,04 Garrison Drive,Beraim,Indonesia
126,Ekaterina Codner,Chocolate Mint Cookies,Food - Baking,87,817.8,6127.12,6/19/2021,3/10/2021,Cash,5559 Sutteridge Center,Hendaye,France
127,Cesya Orgen,Children's Science Experiment Lab Kit,Toys,63,507.01,1429.13,6/28/2021,2/17/2021,Cash,04 Lighthouse Bay Avenue,Auna,Nigeria
128,Antons Glasson,Pumpkin Spice Latte Mix,Food - Beverages,62,210.65,7965.09,8/16/2021,6/17/2021,Online Payment,34 Melody Street,Matanza,Colombia
129,Aundrea Habergham,Maple Almond Granola,Food - Breakfast,19,18.65,572.17,5/10/2021,3/4/2021,Online Payment,442 Fordem Circle,Vyškov,Czech Republic
130,Arne Weeden,Smartphone UV Sanitizer,Health,97,478.57,4726.28,1/7/2021,6/19/2021,Online Payment,02 Moulton Crossing,Sinchao,Peru
131,Hermann Batterbee,Blackberry Jam,Food - Condiments,76,116.36,2362.08,1/5/2021,10/23/2021,Credit Card,0454 Artisan Avenue,Enriquillo,Dominican Republic
132,Mora Brugmann,Electric Rice Cooker,Kitchen,8,102.26,806.23,10/26/2021,6/8/2021,Online Payment,6 Forest Dale Road,Petrijevci,Croatia
133,Jacquie Dobbing,Honey Butter Popcorn,Food - Snacks,97,667.25,6583.33,2/18/2021,5/15/2021,Credit Card,246 Scott Point,Ciudad Ojeda,Venezuela
134,Charisse Scholcroft,Video Camera,Electronics,75,910.15,4298.98,11/16/2021,7/27/2021,Cash,5 Red Cloud Trail,Guacamaya,Honduras
135,Nicky Codron,Organic Italian Seasoning,Food - Spices,24,427.12,2172.72,4/1/2021,9/18/2021,Credit Card,03622 Twin Pines Trail,Vavoua,Ivory Coast
136,Newton Kettles,Garlic Herb Cream Cheese,Food - Dairy,29,875.61,6274.28,7/25/2021,9/28/2021,Online Payment,9 Forest Dale Pass,Bazi,China
137,Una Whitington,Portable Air Compressor,Automotive,51,2.16,1897.08,7/16/2021,8/15/2021,Online Payment,41784 Lillian Pass,Chignayhua,Peru
138,Wandie Tuddall,Electric Hot Water Dispenser,Kitchen,37,689.46,6704.36,5/11/2021,3/30/2021,Online Payment,165 Dayton Place,Jingzhu,China
139,Bendite Bello,Home Cleaning Robot,Home Appliances,20,722.03,8760.04,10/23/2021,9/26/2021,Online Payment,66222 Bartelt Crossing,Yavne,Israel
140,Karry Rouzet,Honey Glazed Carrots,Food - Produce,5,713.03,1340.52,4/2/2021,5/10/2021,Online Payment,1327 Boyd Park,Tambulig,Philippines
141,Aura Pontain,Tortilla Chips,Food - Snacks,24,502.11,4878.16,12/11/2021,1/25/2021,Credit Card,4 Garrison Park,Blumenau,Brazil
142,Carney Exell,Wireless Gaming Mouse,Gaming,17,122.61,1721.26,4/21/2021,2/28/2021,Credit Card,7 Portage Plaza,Colatina,Brazil
143,Audie Dannell,Canvas Wall Art,Home,91,517.03,3226.33,9/3/2021,10/22/2021,Credit Card,26 Annamark Circle,Budapest,Hungary
144,Leicester Aron,Honey Roasted Almonds,Food - Snacks,72,351.26,9698.91,8/4/2021,1/26/2021,Credit Card,5014 Service Junction,Pushkino,Russia
145,Waylan Linger,Emergency Preparedness Kit,Safety,43,879.16,2198.06,11/18/2021,9/3/2021,Online Payment,6 Annamark Junction,Babakankalong,Indonesia
146,Car Pinare,Kids' Craft Supplies Set,Toys,47,970.88,300.61,3/16/2021,3/10/2021,Credit Card,94196 Longview Parkway,Kelburn,New Zealand
147,Merrick Karet,Safety Pin Dispenser,Office,79,748.59,596.08,6/10/2021,12/30/2021,Online Payment,9 Moland Place,Virginia Beach,United States
148,Dara Autin,Pineapple Teriyaki Chicken Mix,Food - Meat,65,965.0,9284.66,11/8/2021,6/1/2021,Online Payment,3971 Little Fleur Junction,Charlottesville,United States
149,Jarid Wathan,Pineapple Salsa,Food - Condiments,94,504.55,3943.64,11/25/2021,4/19/2021,Cash,8212 Milwaukee Parkway,Vyshneve,Ukraine
150,Dexter Vittori,Ergonomic Gaming Chair,Gaming,35,258.26,574.9,11/28/2021,7/14/2021,Cash,18649 Crescent Oaks Crossing,Chillia,Peru
151,Concettina Paoloni,Wrist Support Brace,Health,54,964.07,3075.91,1/30/2021,1/22/2021,Credit Card,07 Petterle Pass,Rudong,China
152,Briny Saddleton,Stuffed Grape Leaves,Food - Prepared Foods,48,74.5,2221.99,8/27/2021,11/11/2021,Online Payment,751 Veith Junction,Wisła,Poland
153,Murielle Hassent,Gaming Mousepad,Gaming,89,362.34,5382.18,10/25/2021,4/24/2021,Online Payment,73416 Clove Center,Gaxung,China
154,Dirk Laws,Portable Water Filter,Outdoor,3,514.62,8531.99,12/5/2021,7/23/2021,Cash,44640 Bashford Court,Garhi Yāsīn,Pakistan
155,Datha Brealey,Harvest Grain Salad,Food - Salads,7,189.18,4237.04,5/1/2021,9/30/2021,Online Payment,41721 Mallard Way,Platagata,Philippines
156,Jesse Mandres,Almond Joy Snack Bars,Food - Snacks,37,270.6,4956.91,8/24/2021,2/24/2021,Online Payment,897 Crest Line Alley,Chojnice,Poland
157,Lemmy Palk,Electric Toothbrush,Health,91,997.71,842.49,1/20/2021,11/9/2021,Credit Card,333 Monterey Plaza,Ajasse Ipo,Nigeria
158,Obadiah Stowe,Popcorn Chicken,Food - Frozen,69,262.64,1470.01,1/21/2021,2/22/2021,Online Payment,755 Linden Circle,Mijiang,China
159,Culley Titmarsh,Recipe Book Stand,Kitchen,73,248.58,6099.16,5/29/2021,10/19/2021,Online Payment,2537 Killdeer Parkway,Kuala Terengganu,Malaysia
160,Ardella Westraw,Personal Blender,Kitchen,35,547.82,2271.64,11/21/2021,10/4/2021,Cash,56 Orin Way,Staryye Atagi,Russia
161,Sonni Somerled,Wireless Range Extender,Electronics,21,148.6,4702.76,3/16/2021,1/8/2021,Online Payment,3 Everett Center,Zhouxi,China
162,Randy Haye,Set of Herb Garden Markers,Garden,7,683.94,6069.11,2/22/2021,11/13/2021,Credit Card,7 Moland Road,Marialva,Brazil
163,Olivero Ruoff,Spicy Avocado Salsa,Food - Condiments,57,229.48,8156.65,2/17/2021,9/6/2021,Cash,7181 Harbort Avenue,Valencia,Venezuela
164,Cyril Prudence,Pumpkin Pie Spice,Food - Baking,62,877.9,8024.29,11/27/2021,11/26/2021,Credit Card,045 Shopko Lane,Madara,Nigeria
165,Jillian Gontier,Set of Silicone Cooking Utensils,Kitchen,57,128.83,959.33,7/14/2021,11/10/2021,Credit Card,8 Glendale Alley,Los Angeles,United States
166,Sidoney Jodkowski,Car Escape Tool,Automotive,83,256.25,3220.02,1/4/2021,3/9/2021,Credit Card,0 Veith Park,Luka nad Jihlavou,Czech Republic
167,Hermione Coveney,Sculpting Kit,Art Supplies,25,152.46,7646.63,12/28/2021,2/23/2021,Credit Card,1286 School Way,Sandefjord,Norway
168,Kelby Theobald,Dog Training Whistle,Pets,75,937.31,5869.46,3/29/2021,9/13/2021,Cash,1603 Welch Parkway,Ningyuan,China
169,Helen Borwick,Sour Cream,Food - Dairy,76,352.1,9068.76,5/18/2021,11/16/2021,Online Payment,22321 Green Ridge Trail,Reina Mercedes,Philippines
170,Gustavus Sampson,Cotton Sweatpants,Clothing - Bottoms,39,791.7,4255.25,10/30/2021,7/4/2021,Cash,653 Briar Crest Terrace,Campinas,Brazil
